total_price,unit_price
560,23296
62,8675
142,19143
240,17267
129,11758
95,16439
430,29775
130,8053
124,14099
108,11544
218,17338
66,8250
660,32603
249,20971
94,12522
249,20893
358,30599
61,9091
80,15175
135,17565
105,13125
107,5934
80,11011
295,20578
225,25031
102,10890
117,13008
108,12429
196,22597
119.8,13289
115,12845
310,17828
52,12777
63,21853
65,11519
117,9425
168,13207
750,17294
318,25839
225,20989
380,14961
58,13657
140,11055
220,16542
133,13266
330,25604
72,11613
67,27894
340,15526
75,8721
119,17005
365,25878
26,7581
92.2,11487
459,25649
116,9927
99,12485
886,20618
252.9,15063
325,19697
152,16837
440,25979
59,10884
459,24249
560,36974
78,9616
39,7660
95,13601
245,16225
209,14929
100,11869
208,23503
50,11072
76,10936
73,9125
120,14815
192,20188
78,8211
170,14167
86,14564
138,9625
202,24062
109.8,11320
145,17221
72,8244
46.6,7391
122,14377
175,19477
80.8,9492
159.5,20147
165,16365
115,9154
108,13792
240,17728
170,10998
1650,47413
153,13911
320,28478
81,12112
190,16380
107.5,13985
163,20728
96,12550
111.8,13387
216,15742
73,12183
96,13412
93,20690
99,11833
86,16930
210,23378
115,12099
500,26273
167,17337
246,25177
145,14237
166,14450
83,11691
122.8,19188
180,32299
74,12334
127,17149
58,11508
195,23947
213,22234
39,11207
117,13296
235,25000
135,9247
68,7525
195,25000
78.6,11452
272,17995
398,26892
268,20584
90,16158
93,12145
82,17518
93,13372
32,5887
179,17196
105,8838
186,13192
156,15370
236,26755
320,25199
116,14022
179,15432
140,19861
257,21487
88,13240
91,12466
61.5,9965
279,30023
170,10618
278,27940
172,14482
103.5,14179
135,15071
249,17533
116,13577
99,10313
95,11215
140,16135
156,19705
155,17028
175,21420
225,19102
320,21421
135,15399
115,13586
265,18750
183,18602
75,9526
191.7,16463
240,22574
272,21297
290,21665
260,21545
106,13183
115,12366
79.8,11554
350,18573
210,20542
129,10474
179.8,19065
193,14724
251,22045
110,12182
118,13698
120,13671
98,10482
108,11895
99,14611
260,20629
119,12978
200,14286
130,14557
310,11035
103,10608
125,15587
185,9878
471,19017
430,31426
530,32172
150,21778
127,21961
86,19546
99,13027
210,10862
292,14879
358,22874
235,25310
136.5,9847
99.8,11089
140,14709
155,10272
133,14092
196,14000
251,6771
158.8,20401
94,12921
145,17853
142,11480
82,15664
450,26316
184.9,17824
248.8,16002
285,26348
221,16484
80.5,10547
98,6609
55,8979
175,15080
212,17667
230,16006
71.5,12865
138,16793
169,15063
153,11985
110,12500
498,32896
69,8415
575,28111
205,21577
129,21221
75,11030
156,12124
191,17106
68,9715
126,8345
45,7324
348,24034
52,6960
240,25192
194.9,13922
59,5043
209,25457
70,5746
239,20700
110,30121
97,13010
134.9,9585
280,26247
535,24370
155,11051
210,9503
70,14532
143,12707
198,29084
279,28279
198,21438
92,15901
510,51516
276,19509
130,15282
83,11893
330,25515
108,22123
95,10796
220,22236
198,21254
112,28733
152.5,16053
98,12914
38.8,8934
77,13952
89,14612
275,14706
40,12013
132,14759
230,25011
185,15963
275,18876
175,21922
105,10318
258,23599
119,13054
235,25343
328,24077
425,27681
123,12258
107,10389
125,14451
99.2,7625
141.9,14258
240,21872
120.9,12198
140,12669
349,16158
85,12714
125,10943
299,16466
325,17568
80,14945
420,35000
188,13240
645,32647
660,38373
105,12943
134.5,11683
83,9797
675,35834
95,17121
119,9569
120,12105
185,9439
71,10079
187,14153
160,12599
139,15733
216,20710
380,39176
188,16324
600,29853
326,28109
117,16816
165,18636
115,14744
102,16452
75,8039
140,11365
90,14587
136,13414
175,15578
170,17703
108,11791
65,16766
165,19808
225,14241
290,16911
280,20130
298,26643
195,21901
179,15130
225,26947
135,27362
236,19766
119,14338
90,8388
80,8282
76,6847
185,19433
158,17805
216,16873
110,12223
135.5,9902
80,20424
133,14075
105.8,10388
255,18889
99,8984
80,17124
198,13311
120,19241
145,14759
112,13412
195,21694
90,12986
426,28492
82,17362
390,33621
80,8397
153.5,16109
47,11458
110,15463
240,25691
103,14350
85,13555
149.8,13578
113,17572
450,38650
358,31404
310,25237
128,18689
190,10701
89,11437
40,8033
73,13201
259,20076
245,29734
720,24914
79,11977
290,20042
120,13715
288,25242
145,17130
97.8,17873
112,15576
160,16524
127,15402
468,39956
620,23338
77,13607
200,15053
156,19740
129.8,13960
200,23069
190,18978
160,11360
41.3,4403
122,18618
118,12728
105,16192
102,12432
378,29788
103,22208
112,23300
125,12279
370,25089
190,15846
510,18624
155.6,12153
92,14087
265,23191
243,20055
170,15065
179,20081
135,15000
310,21252
129,9439
168,23334
275,23463
167,19524
91.5,16053
265,20639
265,13384
