total_price,unit_price
105,12856
125,12489
69.8,14159
64.8,9530
80,9549
132,15818
80,15403
68,9062
75.5,15091
69,10522
65,12038
113,11189
76,12064
94,13491
67,9782
34.5,4735
35.5,4632
75,10370
105,30631
68.5,8748
77,16109
45,5515
120,13282
129.5,9113
45.5,8585
126.6,15445
109,15621
158,16067
134,17244
78,14717
95,13315
67.8,14205
199,21398
98,8168
52.8,8537
135,14454
43,7676
73.8,15446
105,13607
75,14429
83.8,10619
74.5,8455
32,6884
51.5,12360
228,23506
133,18345
89.8,10462
67,8130
139,29657
89,17390
149,18890
60,8925
43,6464
95,10329
68,8500
108,12297
275,28948
37.6,8658
54,13397
113,10190
31,5917
134,13828
60,7615
69.9,11055
139,15500
125,20395
77.9,16786
169,19495
152,17561
98.5,12929
153,17458
208,25965
63,13634
95,16110
43,10481
76.8,11567
93.8,12623
51,8500
75,14578
96,9767
91,14973
128,11141
75.2,15560
104,15625
188,10911
332,33065
73.5,11732
162,21347
289,26573
432,24686
46.8,5259
110.8,12645
125,21930
71.5,12653
71.8,12708
51.5,8300
56,5958
93.8,11934
179,21124
135,24242
114.5,12940
55,11000
116,11880
77.5,9337
248,24963
375,28867
109,18231
75,9282
65.8,12052
26.5,6976
71,19205
45,13003
90,13819
45,7378
173,20844
172,18949
95,14432
109,12502
96.8,13404
46,7200
63,17361
65,12500
65,9104
71.5,14835
44,8430
97,10740
68,9116
139,12464
173,15597
178,20986
132.8,12583
144.8,15322
97,14022
165,17035
58.8,14190
217,22243
210,16800
45.8,10767
55,9210
55,13679
30.5,6657
135,11884
60,11091
290,32038
174.6,20139
152,19161
114,20000
125,10816
56,13382
74.8,14946
116,19042
249.9,23139
163,20216
80.5,19702
83,10252
138,15389
155,28989
68.5,10287
95,15513
80,14405
249,21466
125,17124
135.8,13856
255,22456
58,7389
42,14384
39,7489
78.5,14046
66.5,13359
102,8661
90,12803
130,14665
72,11921
72,11077
65,14249
225,20455
53,8379
89,12146
82.5,15456
82,14693
90,16667
188,25754
68,9298
130,26788
228,39833
152,23031
54,10189
430,32576
235,24932
63,14689
85.5,11838
159.9,20378
78,14572
63.8,13575
67.5,6327
153,12967
106,10974
248,20652
152,12890
82,14757
115,15501
55,16177
85.8,11418
70,19017
404,27483
129.8,17079
70,9572
63,16154
148,29003
128,14312
165,18649
55,8786
130,18310
76.5,11155
49.9,9059
100,8002
130,16597
51.5,11157
58,9961
69.8,12808
115,18549
59,12279
39,10590
96,19155
135,14382
60,10505
82,19962
92,10018
117,14533
70,18258
75,8001
50,8861
91,13516
102,18865
233,29991
85,13525
75,11873
95,14054
99,12276
114,15889
43.9,5165
96,12032
368,32026
103,15291
67.5,12736
52,8000
31,6721
37,6435
132,15197
97.8,16805
46.5,4965
49.8,16302
132,14759
139,18658
162,12858
91.6,17329
68.8,11175
84,15413
89.8,13261
55,14190
62,13567
132,13998
265,23708
230,22900
242,20469
295,21983
92,13249
79,9754
228,26537
72,7234
145,16044
74,19024
65,9559
60,7849
60,9226
112,14691
48.8,13751
148,30738
175,21044
87,15679
55,11928
130,26242
55,9607
117,14662
78,15997
94,16553
235,23825
325,22975
75.8,12896
48.8,7673
127,14262
81.8,12937
163,20823
235,16611
225,18219
156,18995
63.5,10015
49,9795
88,9381
49,13008
66.5,12999
34.5,10877
78,15000
53,6386
240,24490
45.5,8115
155,17169
86.8,14005
89,16019
67,15063
130,13685
71.5,15239
79,12540
122,15304
195,13426
218,19289
95,11463
59,7867
148,14106
125,30466
43,7606
29.8,7404
122,23704
64.5,10574
128,20841
153,25823
68,13192
62,8379
117.5,13906
78,8572
73,10429
97.3,15119
78,10993
42,4668
105,11021
59,7864
58,10087
88,16376
154.8,16532
58.5,11038
60,8450
59,6300
92,25338
67.8,12441
78,15467
61,14724
65.5,8383
77.5,18163
139,14883
32.5,7966
128,13962
116,13753
107.5,13781
88,10524
132,14787
99.8,14803
71.5,16679
51.5,11628
132,15229
65,9314
103.8,12585
41,8336
63,13158
60,7793
80,14337
80,12052
45,13898
65,9350
127,14001
110,12360
96,13936
36.8,4905
155,17120
169,25977
48,5043
62,8505
130,21084
112,25754
52,12846
111,17536
87,20257
209,23664
66,8688
74,12586
128,13028
88,11025
169.9,19140
55,8430
44,7858
85,13894
30,6855
149,21201
115,14135
40,8786
88,14252
35,7283
79,16504
153,11338
96,28479
49.5,14466
79,9509
57.8,7033
66,7034
37,5279
43,4507
59.8,8199
110.8,16725
179,29201
112.5,10780
116.8,11662
55.5,6753
105,11490
199.8,16722
159,17145
78,9157
81.5,11486
55,4955
132,7152
34,5330
121,9030
155,14827
255,20425
62,6319
131,16765
96,16854
170,15571
45.5,8378
56.8,14297
89.9,13831
116,25339
83.8,15993
70,9947
145,16139
79.8,16557
140,27280
88,9829
63.8,15148
94.5,9663
110,15751
42,7891
107,11161
80,9714
76,9310
188,20471
139.8,14873
64,9841
93,11310
38.8,7668
69,14375
193,27972
126,13742
77,9036
69.5,11355
79.8,12274
39.5,7177
83,10536
72,8234
50,8599
153,14646
79.5,11778
97.5,12176
208,22032
71,8926
52,8814
74,9165
158.8,16387
161.5,17858
163,19725
120,23447
286,27903
116.5,15010
67,15179
97.5,17070
99.8,16239
95.9,12048
54,8800
69,12656
99,12811
77.5,9524
75,9673
49,8203
155,14910
110,12287
55,11905
32.5,8555
65,10746
130,17014
120,13748
130,17806
18.8,5000
75,17023
110,13018
139,14069
57,13074
124.5,20809
38.5,6724
92.8,17075
79.8,9500
143,14896
72,9095
67,8171
60,5455
117,15307
51.5,9868
111,11609
64.8,10479
74.9,8512
87,11537
187,24426
71.5,9931
39.8,5080
96,10896
78,11056
72,9008
161,11538
123,16604
152.9,15230
74,8594
114,13370
103,14376
69.5,9249
150,18034
69,16006
112,11192
126,16364
69.8,14976
151,14804
51,7328
52,7716
89,12715
80.5,12251
60.5,8800
47.9,12946
66.4,14125
93,9460
130,32123
143,15742
68.5,13232
83.8,15292
105,13554
77,14978
119.4,12980
65,14773
168,25034
132,21020
118,14599
51,8160
71,10607
62.9,13586
83.5,12997
69.6,9972
56.8,12421
61,11818
122,15648
145,15264
35,9091
97,15471
34.2,6851
47.5,9285
211,19188
78,8710
117,17118
66,9271
70,9947
58,8150
78,9808
89,11542
89,13735
276,22421
48.5,9771
65.8,9588
89.8,12588
46.8,9540
188,20277
44.8,13318
125,20775
40,8404
160,13972
53,13452
30.8,7513
125,14056
57,12468
67.5,18303
45,8583
88.5,17072
74,9867
19.5,4334
72,14395
168,26457
69.5,15792
76,14902
49.7,10396
81,13120
77,8387
146,14861
49,7613
87.8,13838
59.8,11880
57,10589
100,15143
51,4723
128,21466
89,15441
78.5,14611
105.9,15105
57,6064
27,4737
79,22741
36,8675
117,14854
88,16833
190,20328
163.8,18644
95,11558
231,43098
103.5,11714
128,13855
118,16055
87,11816
99,14589
21,6000
82,15288
96.5,16913
63,9523
56,9334
67.5,10990
72,12000
30.8,7496
102,13128
61,9100
89,13465
115,17512
55.5,12683
83.8,12324
50,8748
72.3,12824
52,11613
45,6351
45,9528
69,13456
62,13754
29.6,10572
258,27156
120,12969
63,11887
109,16824
75.8,23666
82,15397
80,14213
42.5,9212
148,14749
69.5,14242
114.5,13056
69,11922
95,16711
82,10024
140,14942
55,6496
70.8,9418
44.8,13374
75,14488
71.5,28820
71,15299
160,14815
68,13075
64,5518
146,16771
58.5,15576
97.8,11211
76,8883
75,8323
42.5,8174
156,18612
88,14648
66.8,14444
130,15477
99,13013
70,8046
71,16255
109.5,18655
76.8,12038
79.8,11874
61.5,8103
108,7163
118,13203
114.5,15154
50,8861
100,11610
325,28509
46.6,12764
228,22846
139,24933
79.8,13195
29,8629
92,12313
86,20555
189,19537
76.5,12219
95,13587
114,13653
79.5,11204
125,14976
86.8,8813
97.5,16960
96.5,9369
215,33490
158,20128
49,5227
72,14487
112,12811
86,18003
51,8628
71,10621
125,16217
86.5,7724
155.6,15581
75,13889
119,20170
68,13321
48,16189
221,41472
65,12664
112,16896
50,10937
58,8657
29,6381
100.5,12552
147,17971
33.8,5200
90,11600
85,17162
268,27071
105,14174
38.5,8863
125,14694
74.8,14443
83,18339
82,21619
85.3,7050
74,10388
69.5,8688
530,26683
205,21579
185,32332
78,7429
46,8289
78,8895
61,10611
92,12567
67.8,17966
74.8,11320
36.5,5531
76.2,14694
43.5,9627
88,10944
175,20839
119,12179
258,23398
86,18993
103,14522
57,14767
52.5,6177
88,9264
92,27244
88,10865
89,10335
74.5,12017
84,9925
68,13471
30,9268
125,15452
79,12154
83,8093
161.9,20241
84,14929
85,13282
88,17496
96,12171
107,25858
98,12421
158,18407
98,14120
148.8,16227
71,8527
189.5,14720
155,18635
96.5,10672
95,18982
178,18979
166,19059
78,10420
165,20556
83.5,17024
110,24018
133,15358
215,25544
67.2,13891
82.8,12983
139.8,14099
149,17328
209,25488
113,13553
127.5,23699
53,14822
82,12429
106,12585
185,23755
66,18380
40,10031
99.8,13368
48.2,10955
78,7083
189,21000
112,16356
19.8,4400
83.8,12975
91,18455
47,12428
85,11068
205,24443
139,27070
41,10169
73,13605
48.8,12578
70,14490
107,13296
120,30242
85,20024
80,9102
150,16358
79,16856
79.8,15709
144.5,19575
303,25596
345,19713
129,15850
126,22106
460,34849
152,18161
110,14507
