sid,¾­¶È,Î³¶È
50136,52.96666666666498,122.51666666666382
50246,52.35000000000282,124.71666666667042
50247,52.03333333333519,123.5666666666674
50349,51.67091925900102,124.39149481533563
50353,51.72694861936599,126.63971804730866
50425,50.25,120.18333333333213
50434,50.48333333333472,121.68333333333236
50442,50.39999999999729,124.1166666666609
50468,50.25,127.4508912967559
50514,49.583333333332284,117.31666666666827
50527,49.24574740766637,119.70637888850696
50548,49.19999999999889,123.71666666667038
50557,49.16648607713039,125.23333333333619
50564,49.43368868693958,127.35035535360231
50603,48.67269602703003,116.81666666666834
50618,48.21666666666404,118.26666666666387
50632,48.76666666666536,121.91666666666862
50639,48.0,122.73333333333618
50656,48.25850518466726,126.50425259233371
50658,48.05000000000141,125.8833333333394
50674,48.56666666666669,129.43333333333334
50727,47.16666666666827,119.93333333333211
50739,47.32127461260663,123.20745077478405
50742,47.80000000000149,124.48333333333618
50745,47.383333333332054,123.9166666666689
50756,47.44858441104348,126.93049050447924
50758,47.18262262612194,125.90000000000335
50774,47.71276942793729,128.86525690317876
50778,47.666666666668156,132.53333333332935
50788,47.23333333333455,131.98333333333625
50834,46.60000000000245,121.21666666667029
50838,46.08333333333146,122.0499999999935
50844,46.39999999999757,123.45000000000655
50853,46.61666666666794,126.96666666667048
50854,46.383333333332075,125.31666666666717
50862,46.983333333334535,127.99183851800358
50873,46.78333333333627,130.2999999999932
50877,46.30000000000191,129.58333333333036
50888,46.34078410811956,132.17730397297154
50915,45.51666666666554,116.96666666667015
50924,45.539362693698585,119.66063730630619
50936,45.63333333333208,122.83333333333124
50945,45.5,124.2546079459396
50948,45.0,124.01666666666382
50949,45.08333333333144,124.86666666666076
50950,45.69999999999795,125.25
50953,45.863101479669695,126.6432832343002
50955,45.391488989860534,126.30815565652802
50963,45.966666666663535,128.73333333333622
50968,45.21666666666355,127.96666666667052
50973,45.75,130.59999999999593
50978,45.30000000000204,130.92305138063873
50983,45.76666666666553,132.96666666667068
51053,48.05000000000141,86.399999999996
51059,47.43723639753039,85.870569730864
51060,47.69999999999849,86.86666666666824
51068,47.11666666666794,87.4726960270308
51076,47.73333333333458,88.08333333333698
51087,46.986875218455474,89.51595013398348
51133,46.73333333333453,83.0
51156,46.7953920540611,85.7287253873928
51186,46.66666666666839,90.38333333333173
51232,45.183333333334126,82.56666666667228
51238,44.899999999997675,82.06666666667222
51241,45.9333333333341,83.60000000000394
51243,45.61666666666792,84.85000000000397
51288,45.36666666666792,90.5333333333311
51330,44.96666666666357,81.01666666666434
51334,44.5836886869383,82.85922171735321
51346,44.433333333334126,84.66666666666326
51358,44.28333333333637,85.81666666667257
51365,44.19999999999798,87.53333333333129
51367,44.14964464639607,86.8329779797298
51379,44.016666666665635,89.56666666667289
51431,43.949999999997985,81.33333333333647
51433,43.800000000002015,82.5166666666643
51437,43.14999999999781,81.13333333333178
51463,43.78333333333634,87.64999999999597
51467,42.75816148199846,86.32482814866954
51469,43.44999999999799,87.18333333332731
51470,43.883333333332104,88.11666666666825
51477,43.350000000002204,88.31666666667279
51495,43.21666666666371,91.73333333333584
51526,42.233333333334244,88.21666666666876
51542,43.033333333336266,84.14999999999604
51567,42.08333333333165,86.56666666667265
51573,42.93723639752988,89.20780612839613
51581,42.85000000000216,90.23333333333582
51628,41.15495747407759,80.2684609111043
51633,41.78333333333615,81.8999999999961
51639,41.233333333334166,82.78333333333163
51642,41.81241407433211,84.26454037049746
51644,41.716666666663855,82.9666666666684
51655,41.35000000000203,86.26666666666424
51656,41.74609693580424,86.05917511359871
51701,40.516666666665884,75.39999999999627
51704,39.716666666664054,76.16666666666396
51705,39.716666666664054,75.25
51709,39.47482232319864,75.86915414190875
51711,40.93333333333411,78.45000000000364
51716,39.80000000000192,78.56666666667186
51720,40.5,79.04999999999629
51730,40.550000000001944,81.26666666666434
51747,39.0,83.66666666666335
51765,40.63333333333217,87.7000000000045
51777,39.033333333335875,88.16666666666302
51804,37.76666666666611,75.23333333333555
51810,38.91666666666809,77.6333333333318
51811,38.4333333333341,77.26666666666442
51818,37.616666666667776,78.28333333333197
51828,37.13333333333224,79.933333333328
51839,37.06666666666591,82.71666666666837
51855,38.149999999998286,85.54999999999569
51886,38.25,90.85000000000409
51931,36.850000000001565,81.6499999999961
52101,43.600000000002225,93.04999999999511
52112,43.75851101013711,95.05993242456142
52118,43.266666666665685,94.700000000005
52203,42.81666666666588,93.51666666666412
52267,41.94999999999803,101.06666666667103
52313,41.53333333333613,94.66666666666353
52323,41.80000000000197,97.03333333333075
52418,40.14999999999809,94.68333333332765
52424,40.53333333333603,95.78191774437592
52436,40.266666666665905,97.03333333333075
52446,40.30000000000194,99.51666666666405
52447,40.0,98.88474892228874
52495,40.1666666666682,104.79999999999434
52533,39.76666666666595,98.48333333333593
52546,39.36666666666781,99.83333333333529
52576,39.21666666666411,101.6833333333291
52602,38.75,93.33333333333678
52633,38.81454037049899,98.4166666666644
52645,38.42660491669626,99.59327158336298
52652,39.06419666783026,100.30246999883224
52657,38.1833333333341,100.25
52661,38.8000000000019,101.08333333333499
52674,38.22943026913476,101.95886053827414
52679,37.916666666668,102.66666666666534
52681,38.63333333333221,103.08333333333458
52707,36.800000000001845,93.68333333332741
52713,37.85000000000168,95.35212629616989
52737,37.36666666666777,97.38120703716646
52754,37.33333333333206,100.13333333333397
52765,37.38333333333223,101.61666666666565
52787,37.19999999999814,102.86666666666532
52797,37.18333333333409,104.0499999999944
52818,36.41666666666786,94.9145403704968
52825,36.43333333333408,96.43120703716119
52833,36.93120703716726,98.48333333333593
52836,36.30000000000183,98.10000000000231
52842,36.78333333333561,99.08333333333546
52856,36.26666666666625,100.6166666666659
52866,36.73120703716698,101.75
52868,36.0250029127333,101.40071070720964
52876,36.33120703716533,102.83545962950146
52884,36.35000000000151,103.94858441105065
52895,36.56666666666592,104.68333333332967
52908,35.21666666666459,93.08333333333685
52943,35.583333333332234,99.98333333333595
52955,35.583333333332234,100.73545962950283
52974,35.52447279506125,102.0205697308598
52983,35.86666666666773,104.1499999999992
52984,35.583333333332234,103.18333333332939
52986,35.36525107771281,103.86525107771007
52996,35.38333333333228,105.0152510777091
53068,43.62834673191275,111.94183851799787
53083,44.6166666666679,114.15000000000128
53149,42.53333333333622,110.13333333333638
53192,44.016666666665635,114.96170919259345
53195,43.85000000000225,113.63333333333712
53276,42.399999999997874,112.90000000000107
53336,41.56666666666589,108.51666666666397
53352,41.69999999999803,110.43333333333067
53362,41.53422463008531,111.6815507398325
53367,41.31666666666589,111.23333333333605
53391,41.899999999997924,114.0
53399,41.14999999999799,114.70000000000617
53446,40.5844110450919,109.87056390539882
53463,40.83723057206316,111.61135966445605
53478,40.0,112.45000000000607
53480,41.03333333333608,113.06666666666891
53487,40.08971804730087,113.38474309681845
53490,40.433333333334105,114.04999999999387
53502,39.78333333333595,105.75
53513,40.73333333333413,107.36666666666424
53519,39.21666666666411,106.76666666666398
53529,39.08758592566555,107.96666084120184
53543,39.83333333333183,109.98333333333605
53547,39.100000000001806,109.03333333333018
53564,39.37730397297008,111.17411744145453
